	D2R1	D2R2	D2R3	D6R1	D6R2	D6R3	HSD1	HSD2	HSD3	HSUD1	HSUD2	HSUD3	NHSD1	NHSD2	NHSD3	NHSUD1	NHSUD2	NHSUD3
LOC112447072	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0
LOC101903639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC618219	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0
LOC112447074	0	3	1	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0
LOC112447010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100138661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107131365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC618212	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RCAN1	779	856	719	705	1370	1860	792	756	948	684	855	1140	817	832	1123	1020	820	1559
TRNAG-CCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101903444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1H21orf140	4	4	3	6	4	4	2	11	6	6	5	2	2	7	4	1	0	0
SMIM11A	489	576	287	361	536	288	596	520	341	532	410	322	505	333	333	635	305	344
KCNE2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
LOC112446832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112447088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC107132170	0	8	2	2	2	0	11	2	0	0	2	0	0	8	2	1	0	0
MRPS6	2989	3770	1789	2510	2288	2296	3232	2598	2117	3493	2391	1985	2509	2509	1947	3472	2072	1873
SLC5A3	693	2077	3373	874	725	1464	2129	1731	2217	1431	2472	1489	505	1146	1001	586	737	872
LOC112448353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112447090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112447091	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PO	12507	12096	8123	9991	9121	9328	13459	10316	9911	16629	8640	9218	11811	9216	9352	16955	8403	9667
ITSN1	1380	2011	1533	1478	1605	1713	1284	1648	1225	1096	2119	1171	1161	1924	1988	1821	1460	1847
TRNAC-GCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYZL1	636	613	403	636	546	763	583	484	635	785	487	583	628	527	634	799	495	653
LOC112447103	21	21	11	6	19	12	39	8	16	13	16	2	30	9	14	36	11	34
DONSON	1912	2312	1105	1599	2093	1331	2146	2083	1197	1632	2071	1221	1743	2133	1612	2237	1683	1517
SON	16341	19770	18244	15900	15872	20115	14514	18400	15757	11282	19732	12798	14581	21020	22324	19590	17253	19370
GART	9204	11632	7052	8833	9115	7143	10653	9856	8734	8653	9714	7156	10124	11290	9611	12403	8670	9071
LOC104970777	15	10	8	6	16	10	7	16	8	12	8	8	14	6	8	9	4	4
DNAJC28	1840	1658	1246	1626	1296	1127	1200	1428	1412	1280	1019	990	1400	1416	1512	1544	1315	1309
TMEM50B	5420	5708	4568	5013	4329	5396	4877	4002	5333	3884	3224	3734	4836	4503	6058	5443	3483	5045
LOC112448317	0	0	0	0	0	1	3	4	0	2	0	1	0	0	2	0	0	0
IFNGR2	3081	3311	2566	2591	2750	3088	3188	3038	3268	2713	2660	2650	3548	2969	3544	3997	2307	3169
LOC112447120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	2124	3231	2894	2722	3595	4055	2522	2772	2768	1817	2813	2167	2076	2560	3633	2816	2221	3008
LOC104970778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RB	1140	1287	968	1061	1273	1297	1292	1165	1108	868	909	1037	1322	1141	1447	1468	946	1167
IFNAR2	1293	1402	849	1126	1560	1516	1244	1232	1006	972	1073	994	1090	1192	1403	1484	1014	1364
LOC112447121	0	0	0	0	0	1	0	2	2	0	2	2	8	0	1	4	0	0
LOC526226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLIG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100848368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLIG2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112447133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1H21orf62	0	0	0	0	0	4	0	0	0	0	0	0	0	2	4	0	0	0
PAXBP1	1671	1489	1360	1301	1617	1983	1555	1459	1169	1023	1541	830	1324	1929	1940	1704	1445	1522
SYNJ1	734	637	619	490	1007	1229	663	589	559	430	616	467	462	892	1266	696	738	1085
LOC112447136	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	1	0
CFAP298	3245	3305	2376	2624	2832	2777	3246	2803	2598	3251	2858	2518	2904	3023	3338	3912	2608	3305
LOC112447137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVA1C	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC104970779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URB1	617	1019	584	517	1019	542	769	856	516	656	1359	571	655	1460	976	1037	949	892
MRAP	2	5	7	2	6	8	4	14	0	5	0	2	5	2	0	2	2	21
MIS18A	787	1026	311	549	808	392	743	781	385	858	778	471	774	776	415	1231	589	527
HUNK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112447138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAF4	849	1178	587	621	1193	981	1154	1401	1002	877	1631	841	658	1464	1407	1082	980	1235
SOD1	12323	13033	9796	9692	11217	13176	14426	11404	11625	14121	9596	12148	12906	10045	12445	17432	9141	13467
TIAM1	567	582	747	439	655	919	650	571	666	575	732	726	458	702	1145	776	750	962
MIR2284I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR2284X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP11-1	0	0	0	0	2	6	2	2	0	0	0	0	0	0	0	0	0	0
KRTAP7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101907866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101907950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC785105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112446985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC618359	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
